Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW
1,0,0.5317144,1.328294,0.004872024,0.4205923,-0.3528019,0.2475382,-0.7983468
1,0,0.5317144,1.328294,0.004872024,0.4205923,-0.3528019,0.2475382,-0.7983468
1,0.01111111,0.5302338,1.329379,0.005491555,0.4241083,-0.3516361,0.2446478,-0.7978921
1,0.02222222,0.52801,1.33144,0.00587824,0.4276831,-0.3497845,0.2473655,-0.7959574
1,0.03333334,0.5256245,1.333831,0.005563512,0.4297692,-0.3447757,0.2528271,-0.7953028
1,0.04444445,0.5221621,1.337837,0.003829785,0.4325306,-0.3308881,0.2675509,-0.794888
1,0.05555556,0.5191118,1.340799,0.002819732,0.4363974,-0.3208334,0.2730867,-0.7950137
1,0.06666667,0.5155548,1.34467,0.00104557,0.4430341,-0.308293,0.272695,-0.7964381
1,0.07777778,0.5124485,1.347998,-0.0004502535,0.4495954,-0.2974221,0.2690824,-0.798122
1,0.08888889,0.5088205,1.35229,-0.002772897,0.4580159,-0.2862776,0.2584277,-0.8009256
1,0.1,0.504141,1.357021,-0.005569614,0.4670381,-0.2761721,0.2463444,-0.8030684
1,0.1111111,0.49922,1.362306,-0.008566216,0.476961,-0.2674008,0.2353065,-0.8035147
1,0.1222222,0.493842,1.36755,-0.01166725,0.4870445,-0.2581217,0.2265582,-0.8030144
1,0.1333333,0.4877877,1.373411,-0.0153902,0.4994549,-0.2470754,0.2196761,-0.8007752
1,0.1444445,0.4814324,1.379238,-0.01992633,0.5127707,-0.2334868,0.214319,-0.7978831
1,0.1555556,0.4747499,1.385504,-0.02443833,0.5258706,-0.2200034,0.2078514,-0.794894
1,0.1666667,0.4684273,1.390994,-0.02964482,0.5391306,-0.2086138,0.200593,-0.7909367
1,0.1777778,0.4613774,1.396519,-0.03452512,0.5530449,-0.1976316,0.1896573,-0.7868375
1,0.1888889,0.45466,1.402202,-0.03980431,0.5663655,-0.1869348,0.1784718,-0.7825812
1,0.2,0.4471897,1.407916,-0.04585341,0.5808294,-0.1760546,0.1649355,-0.7774563
1,0.2111111,0.4403558,1.412371,-0.05119384,0.5938745,-0.1662245,0.1517605,-0.772432
1,0.2222222,0.4332767,1.417407,-0.05714425,0.6073998,-0.1556175,0.1382329,-0.7666423
1,0.2333333,0.4262442,1.421261,-0.06270607,0.6212438,-0.1447519,0.1241895,-0.7600527
1,0.2444444,0.4189924,1.425166,-0.06893801,0.6345348,-0.1327994,0.1114459,-0.7531996
1,0.2555556,0.4118315,1.428069,-0.07448812,0.6471795,-0.1200651,0.09991464,-0.7461637
1,0.2666667,0.4049363,1.430898,-0.08046926,0.6590841,-0.1064149,0.08955631,-0.7390965
1,0.2777778,0.3984944,1.433329,-0.08600876,0.6700109,-0.09267989,0.07995784,-0.7321903
1,0.2888889,0.3922855,1.434705,-0.09128292,0.6803194,-0.07817504,0.07167363,-0.7252014
1,0.3,0.3857131,1.435675,-0.09657443,0.6902621,-0.0647127,0.06351644,-0.7178553
1,0.3111111,0.3791049,1.436321,-0.1015929,0.6993231,-0.05199823,0.05659583,-0.7106619
1,0.3222222,0.3726112,1.437131,-0.1065869,-0.7079934,0.03971863,-0.0489701,0.7033987
1,0.3333333,0.3670145,1.436669,-0.1109207,-0.7155894,0.02894619,-0.04083097,0.6967258
1,0.3444445,0.3613787,1.436722,-0.1156639,-0.7226828,0.02016008,-0.03174725,0.6901559
1,0.3555556,0.3560455,1.435509,-0.1199083,-0.7296299,0.01314738,-0.02128859,0.6833843
1,0.3666667,0.3515059,1.434339,-0.1238432,-0.7364064,0.008591518,-0.009944998,0.6764117
